user_id,freq
9241,226
16547,40
7665,302
1580,1075
1812,998
10325,184
51,3550
1089,1291
822,1464
2946,752
5248,470
1556,1084
1709,1026
336,2057
3570,656
1284,1195
754,1512
7599,305
65,3283
551,1727
242,2285
1325,1178
1521,1097
178,2500
5203,474
2258,878
5086,486
655,1599
10702,171
2223,885
7285,323
41,3632
3251,703
349,2033
171,2524
619,1637
402,1939
2001,943
482,1807
1273,1201
326,2085
3237,706
2192,893
2957,750
1031,1325
7048,339
640,1612
3827,624
3197,711
4184,581
405,1932
9485,216
3387,682
5527,446
6526,372
82,3092
1095,1289
739,1519
12257,125
3649,646
6661,364
8253,272
3549,658
5670,434
5278,467
1147,1263
10498,178
3901,616
16725,37
3231,707
5567,443
2434,842
7116,334
3126,721
19,4233
472,1827
2748,786
2637,807
166,2538
5373,460
1902,970
329,2079
1958,956
9460,216
9655,210
608,1645
2584,815
6283,389
241,2288
2568,819
727,1529
2784,780
1442,1128
164,2550
745,1514
2380,852
445,1872
935,1379
2802,777
4356,561
3872,620
6175,395
1302,1188
1025,1329
3916,614
62,3326
926,1385
696,1560
3960,608
669,1587
1585,1074
4312,566
3011,738
5808,422
1846,988
6306,387
6844,352
6766,356
4603,532
3045,731
11486,148
11139,158
987,1352
12094,129
1791,1002
5136,480
9361,221
7808,295
1751,1014
1764,1010
45,3606
1382,1153
2115,915
10072,193
15787,51
10216,188
4894,504
2298,868
1889,974
2773,781
8514,259
4726,518
9483,216
2826,773
101,2984
5937,413
2446,840
568,1705
841,1447
1215,1230
3072,728
2437,841
601,1652
8661,252
24,4116
1734,1019
4395,556
765,1502
6882,350
39,3737
7130,332
1006,1340
248,2278
4984,495
7557,307
1469,1117
319,2103
11796,138
653,1600
5986,409
2040,933
2527,826
4174,582
150,2687
14625,71
1908,969
9371,221
959,1366
11549,146
6231,392
7280,324
8615,254
3925,613
599,1656
7354,319
7636,303
15149,62
13969,84
181,2494
2771,782
639,1615
2332,861
9398,220
3546,659
1413,1141
1893,972
3438,674
5390,458
2916,758
5917,414
33,3938
11405,150
9452,217
672,1583
423,1909
1001,1341
834,1452
2265,877
879,1416
4568,536
2494,832
1747,1015
8256,272
89,3038
9235,226
2438,841
4840,509
2175,897
94,3017
3403,680
808,1475
16119,46
421,1913
1127,1269
2299,868
44,3610
341,2046
1415,1140
14005,83
1985,949
2416,844
1987,948
9200,228
1567,1080
3388,682
3245,704
4997,494
7938,289
4,5426
5150,478
129,2772
386,1959
254,2268
647,1603
3823,624
3575,656
5197,474
3256,702
114,2871
10592,175
1743,1017
4583,534
270,2227
6036,405
573,1698
7418,315
7095,335
4429,552
359,2010
684,1571
3296,697
2020,938
821,1465
433,1890
7282,323
8965,238
191,2472
224,2323
12780,111
4199,579
842,1446
14547,72
838,1450
